# Eclipse JDT formatter option inventory — the complete `org.eclipse.jdt.core.formatter.*` id set.
#
# Extracted from org.eclipse.jdt.core @ master:
#   formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java   (the ids)
#   formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java (value kinds)
#
# Columns: id <TAB> value-kind <TAB> status
#   value-kind: insert | bool | int | alignment | brace | one-line | paren | tab-char |
#               text-block-indent | string
#   status:     live   = written back by DefaultCodeFormatterOptions.getMap()
#               legacy = deprecated id still honored on read, fanned out into finer settings
#
# `import::eclipse`'s coverage test asserts every row here is captured by the model.
indent_body_declarations_compare_to_record_header	bool	live
indent_body_declarations_compare_to_type_header	bool	live
indent_breaks_compare_to_cases	bool	live
indent_empty_lines	bool	live
indent_statements_compare_to_block	bool	live
indent_statements_compare_to_body	bool	live
indent_switchstatements_compare_to_cases	bool	live
indent_switchstatements_compare_to_switch	bool	live
indentation.size	int	live
insert_new_line_after_annotation	insert	legacy
insert_new_line_after_annotation_on_enum_constant	insert	live
insert_new_line_after_annotation_on_field	insert	live
insert_new_line_after_annotation_on_local_variable	insert	live
insert_new_line_after_annotation_on_member	insert	legacy
insert_new_line_after_annotation_on_method	insert	live
insert_new_line_after_annotation_on_package	insert	live
insert_new_line_after_annotation_on_parameter	insert	live
insert_new_line_after_annotation_on_type	insert	live
insert_new_line_after_label	insert	live
insert_new_line_after_opening_brace_in_array_initializer	insert	live
insert_new_line_after_type_annotation	insert	live
insert_new_line_at_end_of_file_if_missing	insert	live
insert_new_line_before_catch_in_try_statement	insert	live
insert_new_line_before_closing_brace_in_array_initializer	insert	live
insert_new_line_before_else_in_if_statement	insert	live
insert_new_line_before_finally_in_try_statement	insert	live
insert_new_line_before_while_in_do_statement	insert	live
insert_new_line_in_empty_annotation_declaration	insert	legacy
insert_new_line_in_empty_anonymous_type_declaration	insert	legacy
insert_new_line_in_empty_block	insert	legacy
insert_new_line_in_empty_enum_constant	insert	legacy
insert_new_line_in_empty_enum_declaration	insert	legacy
insert_new_line_in_empty_method_body	insert	legacy
insert_new_line_in_empty_type_declaration	insert	legacy
insert_space_after_additive_operator	insert	live
insert_space_after_and_in_type_parameter	insert	live
insert_space_after_arrow_in_switch_case	insert	live
insert_space_after_arrow_in_switch_default	insert	live
insert_space_after_assignment_operator	insert	live
insert_space_after_at_in_annotation	insert	live
insert_space_after_at_in_annotation_type_declaration	insert	live
insert_space_after_binary_operator	insert	legacy
insert_space_after_bitwise_operator	insert	live
insert_space_after_closing_angle_bracket_in_type_arguments	insert	live
insert_space_after_closing_angle_bracket_in_type_parameters	insert	live
insert_space_after_closing_brace_in_block	insert	live
insert_space_after_closing_paren_in_cast	insert	live
insert_space_after_colon_in_assert	insert	live
insert_space_after_colon_in_case	insert	live
insert_space_after_colon_in_conditional	insert	live
insert_space_after_colon_in_for	insert	live
insert_space_after_colon_in_labeled_statement	insert	live
insert_space_after_comma_in_allocation_expression	insert	live
insert_space_after_comma_in_annotation	insert	live
insert_space_after_comma_in_array_initializer	insert	live
insert_space_after_comma_in_constructor_declaration_parameters	insert	live
insert_space_after_comma_in_constructor_declaration_throws	insert	live
insert_space_after_comma_in_enum_constant_arguments	insert	live
insert_space_after_comma_in_enum_declarations	insert	live
insert_space_after_comma_in_explicitconstructorcall_arguments	insert	live
insert_space_after_comma_in_for_increments	insert	live
insert_space_after_comma_in_for_inits	insert	live
insert_space_after_comma_in_method_declaration_parameters	insert	live
insert_space_after_comma_in_method_declaration_throws	insert	live
insert_space_after_comma_in_method_invocation_arguments	insert	live
